唯一id,最长战斗时间,关卡奖励,怪物等级,特殊奖励,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,卡槽解锁,查封配置
976,90,5:190570,14691,,124802,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
977,90,5:190650,14710,,124802,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
978,90,5:190720,14729,,124802,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
979,90,5:190800,14748,,125060,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
980,90,5:190880,14767,505:10,125060,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
981,90,5:191030,14786,,125060,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
982,90,5:191110,14805,,125060,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
983,90,5:191180,14824,,125060,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
984,90,5:191260,14843,,127069,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
985,90,5:191330,14862,505:10,127069,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
986,90,5:191410,14881,,127069,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
987,90,5:191490,14900,,127069,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
988,90,5:191560,14919,,127069,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
989,90,5:191640,14938,,127211,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
990,90,5:191720,14957,505:10;16026:1,127211,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
991,90,5:192090,14976,,127211,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
992,90,5:192170,14995,,127211,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
993,90,5:192250,15014,,127211,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
994,90,5:192320,15033,,127347,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
995,90,5:192400,15052,506:10,127347,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
996,90,5:192480,15071,,127347,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
997,90,5:192550,15090,,127347,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
998,90,5:192630,15109,,127347,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
999,90,5:192710,15128,,127472,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1000,90,5:192790,15147,507:5,127472,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1001,90,5:192940,15166,,127472,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1002,90,5:193020,15185,,127472,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1003,90,5:193090,15204,,127472,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
1004,90,5:193170,15223,,127731,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1005,90,5:193250,15242,505:10,127731,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1006,90,5:193330,15261,,127731,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1007,90,5:193400,15280,,127731,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1008,90,5:193480,15299,,127731,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
1009,90,5:193560,15318,,127865,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1010,90,5:193630,15337,505:10,127865,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1011,90,5:194010,15356,,127865,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1012,90,5:194090,15375,,127865,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1013,90,5:194170,15394,,127865,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
1014,90,5:194250,15413,,127990,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1015,90,5:194320,15432,505:10,127990,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1016,90,5:194400,15451,,127990,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1017,90,5:194480,15470,,127990,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1018,90,5:194560,15489,,127990,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
1019,90,5:194640,15508,,128126,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1020,90,5:194710,15527,506:10,128126,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1021,90,5:194870,15546,,128126,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1022,90,5:194950,15565,,128126,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1023,90,5:195020,15584,,128126,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
1024,90,5:195100,15603,,128260,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1025,90,5:195180,15622,505:10,128260,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1026,90,5:195260,15641,,128260,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1027,90,5:195340,15660,,128260,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
1028,90,5:195410,15679,,128260,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,
1029,90,5:195490,15698,,128517,20:50,,130;9:-2;10:-2;19:-2|260;9:-3;10:-3;19:-3|390;9:-4;10:-4;19:-4|420;9:-5;10:-5;19:-5|580;9:-6;10:-6;19:-6|640;9:-7;10:-7;19:-7|700;9:-8;10:-8;19:-8|960;9:-9;10:-9;19:-9|1020;9:-10;10:-10;19:-10|1480;9:-11;10:-11;19:-13|1640;9:-12;10:-12;19:-15|1800;9:-12;10:-12;19:-17|2020;9:-15;10:-15;19:-20,7,,6;4000
